case_name,maximum_bs_curvature,maximum_curvature
case_files\Case1-0.7-10.0-60D_30,0.276562E-01,0.276562E-01
case_files\Case1-0.7-10.25-60D_30,0.277000E-01,0.277000E-01
case_files\Case1-0.7-10.5-60D_30,0.277403E-01,0.277403E-01
case_files\Case1-0.7-10.75-60D_30,0.277775E-01,0.277775E-01
case_files\Case1-0.7-11.0-60D_30,0.278118E-01,0.278118E-01
case_files\Case1-0.7-11.25-60D_30,0.278432E-01,0.278432E-01
case_files\Case1-0.7-11.5-60D_30,0.278721E-01,0.278721E-01
case_files\Case1-0.7-11.75-60D_30,0.278984E-01,0.278984E-01
case_files\Case1-0.7-12.0-60D_30,0.279223E-01,0.279223E-01
case_files\Case1-0.7-12.25-60D_30,0.279441E-01,0.279441E-01
case_files\Case1-0.7-12.5-60D_30,0.279637E-01,0.279637E-01
case_files\Case1-0.7-12.75-60D_30,0.279813E-01,0.279813E-01
case_files\Case1-0.7-13.0-60D_30,0.279971E-01,0.279971E-01
case_files\Case1-0.7-13.25-60D_30,0.280111E-01,0.280111E-01
case_files\Case1-0.7-13.5-60D_30,0.280234E-01,0.280234E-01
case_files\Case1-0.7-13.75-60D_30,0.280341E-01,0.280341E-01
case_files\Case1-0.7-14.0-60D_30,0.280432E-01,0.280432E-01
case_files\Case1-0.7-14.25-60D_30,0.280509E-01,0.280509E-01
case_files\Case1-0.7-14.5-60D_30,0.280572E-01,0.280572E-01
case_files\Case1-0.7-14.75-60D_30,0.280621E-01,0.280621E-01
case_files\Case1-0.7-15.0-60D_30,0.280659E-01,0.280659E-01
case_files\Case1-0.7-15.25-60D_30,0.280684E-01,0.280684E-01
case_files\Case1-0.7-15.5-60D_30,0.280697E-01,0.280697E-01
case_files\Case1-0.7-15.75-60D_30,0.280699E-01,0.280699E-01
case_files\Case1-0.7-16.0-60D_30,0.280691E-01,0.280691E-01
case_files\Case1-0.7-16.25-60D_30,0.280673E-01,0.280673E-01
case_files\Case1-0.7-16.5-60D_30,0.280646E-01,0.280646E-01
case_files\Case1-0.7-16.75-60D_30,0.280609E-01,0.280609E-01
case_files\Case1-0.7-17.0-60D_30,0.280564E-01,0.280564E-01
case_files\Case1-0.725-8.0-60D_30,0.250781E-01,0.250781E-01
case_files\Case1-0.725-8.25-60D_30,0.251650E-01,0.251650E-01
case_files\Case1-0.725-8.5-60D_30,0.252458E-01,0.252458E-01
case_files\Case1-0.725-8.75-60D_30,0.253211E-01,0.253211E-01
case_files\Case1-0.725-9.0-60D_30,0.253913E-01,0.253913E-01
case_files\Case1-0.725-9.25-60D_30,0.254566E-01,0.254566E-01
case_files\Case1-0.725-9.5-60D_30,0.255174E-01,0.255174E-01
case_files\Case1-0.725-9.75-60D_30,0.255741E-01,0.255741E-01
case_files\Case1-0.725-10.0-60D_30,0.256269E-01,0.256269E-01
case_files\Case1-0.725-10.25-60D_30,0.256760E-01,0.256760E-01
case_files\Case1-0.725-10.5-60D_30,0.257218E-01,0.257218E-01
case_files\Case1-0.725-10.75-60D_30,0.257644E-01,0.257644E-01
case_files\Case1-0.725-11.0-60D_30,0.258039E-01,0.258039E-01
case_files\Case1-0.725-11.25-60D_30,0.258407E-01,0.258407E-01
case_files\Case1-0.725-11.5-60D_30,0.258748E-01,0.258748E-01
case_files\Case1-0.725-11.75-60D_30,0.259066E-01,0.259066E-01
case_files\Case1-0.725-12.0-60D_30,0.259358E-01,0.259358E-01
case_files\Case1-0.725-12.25-60D_30,0.259629E-01,0.259629E-01
case_files\Case1-0.725-12.5-60D_30,0.259880E-01,0.259880E-01
case_files\Case1-0.725-12.75-60D_30,0.260110E-01,0.260110E-01
case_files\Case1-0.725-13.0-60D_30,0.260321E-01,0.260321E-01
case_files\Case1-0.725-13.25-60D_30,0.260513E-01,0.260513E-01
case_files\Case1-0.725-13.5-60D_30,0.260690E-01,0.260690E-01
case_files\Case1-0.725-13.75-60D_30,0.260849E-01,0.260849E-01
case_files\Case1-0.725-14.0-60D_30,0.260994E-01,0.260994E-01
case_files\Case1-0.725-14.25-60D_30,0.261123E-01,0.261123E-01
case_files\Case1-0.725-14.5-60D_30,0.261238E-01,0.261238E-01
case_files\Case1-0.725-14.75-60D_30,0.261340E-01,0.261340E-01
case_files\Case1-0.725-15.0-60D_30,0.261429E-01,0.261429E-01
case_files\Case1-0.725-15.25-60D_30,0.261506E-01,0.261506E-01
case_files\Case1-0.725-15.5-60D_30,0.261571E-01,0.261571E-01
case_files\Case1-0.725-15.75-60D_30,0.261626E-01,0.261626E-01
case_files\Case1-0.725-16.0-60D_30,0.261670E-01,0.261670E-01
case_files\Case1-0.725-16.25-60D_30,0.261704E-01,0.261704E-01
case_files\Case1-0.725-16.5-60D_30,0.261728E-01,0.261728E-01
case_files\Case1-0.725-16.75-60D_30,0.261742E-01,0.261742E-01
case_files\Case1-0.725-17.0-60D_30,0.261747E-01,0.261747E-01
case_files\Case1-0.75-8.0-60D_30,0.231904E-01,0.231904E-01
case_files\Case1-0.75-8.25-60D_30,0.232811E-01,0.232811E-01
case_files\Case1-0.75-8.5-60D_30,0.233659E-01,0.233659E-01
case_files\Case1-0.75-8.75-60D_30,0.234453E-01,0.234453E-01
